Version,CommitId,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowIndexesDesc.java",4,0,3,1,1,,,,,1,1,2,6,,6,5,3,6,,0,0,0,6,,75,12,32,18,10,31,,16,23,16,7,,1,,0,,,"0,97",6,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowLocksDesc.java",6,0,4,2,1,,,,,1,0,4,17,,17,17,6,17,,0,0,0,17,,173,24,85,40,32,64,,42,61,34,27,,2,,1,,,"0,75",18,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowLocksRequest.java",11,0,10,1,3,,,,,6,3,10,52,,50,49,11,52,,1,2,0,49,,710,91,590,138,356,41,,269,412,123,314,,14,,3,,,"0,07",151,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowLocksResponse.java",8,0,7,0,2,,,,,6,3,5,41,,39,38,4,41,,1,2,0,38,,449,66,358,112,173,28,,160,246,104,158,,6,,4,,,"0,08",78,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowLocksResponseElement.java",14,1,13,1,4,,,,,6,3,29,113,,111,110,35,113,,1,2,0,110,,1929,207,1657,285,1145,113,,809,1185,251,1001,,50,,3,,,"0,07",444,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowMapredStatsHook.java",12,1,11,0,3,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,41,6,18,9,7,17,,9,14,10,6,,3,,2,,,"0,94",3,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowPartitionsDesc.java",6,0,4,3,1,,,,,1,0,3,10,,10,10,3,10,,0,0,0,10,,119,16,49,27,14,54,,22,33,22,11,,1,,0,,,"1,10",10,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowTableStatusDesc.java",7,0,4,3,1,,,,,1,0,3,14,,14,14,4,14,,0,0,0,14,,157,20,66,33,21,71,,30,45,27,18,,1,,0,,,"1,08",14,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowTablesDesc.java",6,0,4,3,1,,,,,1,0,3,12,,12,12,3,12,,0,0,0,12,,131,17,55,27,18,59,,25,38,23,15,,1,,0,,,"1,07",12,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowTblPropertiesDesc.java",6,0,3,3,1,,,,,1,0,3,11,,11,11,3,11,,0,0,0,11,,126,17,51,27,15,58,,23,35,23,12,,1,,0,,,"1,14",11,,,,,,,,,,,0,0,"0,00","0,00"
