Issue Key,File
HIVE-18624,ql/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriver.java
HIVE-18624,ql/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriverIntervals.java
HIVE-20345,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
HIVE-18742,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java
HIVE-18250,ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
HIVE-18090,ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java
HIVE-17368,itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/MiniHiveKdc.java
HIVE-17368,itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/TestJdbcWithDBTokenStore.java
HIVE-17368,itests/hive-unit-hadoop2/src/test/java/org/apache/hadoop/hive/metastore/security/TestHadoopAuthBridge23.java
HIVE-17368,itests/util/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java
HIVE-17368,ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java
HIVE-17368,service/src/java/org/apache/hive/service/cli/session/HiveSessionImplwithUGI.java
HIVE-17368,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DBTokenStore.java
HIVE-17368,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java
HIVE-17368,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/MetastoreDelegationTokenManager.java
HIVE-22412,ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java
HIVE-22412,serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/StandardConstantMapObjectInspector.java
HIVE-14296,service/src/java/org/apache/hive/service/cli/session/SessionManager.java
HIVE-18735,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-21033,cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java
HIVE-21033,cli/src/test/org/apache/hadoop/hive/cli/TestCliDriverMethods.java
HIVE-21033,common/src/java/org/apache/hadoop/hive/common/io/CachingPrintStream.java
HIVE-21033,common/src/java/org/apache/hadoop/hive/common/io/FetchConverter.java
HIVE-21033,common/src/java/org/apache/hadoop/hive/common/io/SessionStream.java
HIVE-21033,hcatalog/core/src/main/java/org/apache/hive/hcatalog/cli/HCatCli.java
