Version,CommitId,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"StringExpr.java",21,1,17,2,5,,,,,1,13,0,13,,13,0,0,13,,0,0,0,13,,354,31,229,55,152,94,,106,166,58,108,,10,,4,,,"0,41",59,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"StructColumnInList.java",16,2,13,1,3,,,,,1,0,1,7,,7,7,6,7,,0,0,0,7,,175,29,115,50,61,31,,69,87,47,40,,14,,5,,,"0,27",21,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"SubQueryUtils.java",12,1,11,0,2,,,,,3,35,1,39,,45,10,2,45,,37,2,0,6,,665,79,472,178,306,115,,244,337,152,261,,12,,3,,,"0,24",89,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"SyntheticJoinPredicate.java",18,2,15,0,3,,,,,4,1,1,11,,11,10,2,11,,0,4,0,7,,290,47,214,100,117,29,,126,166,98,98,,10,,3,,,"0,14",35,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TBinaryColumn.java",8,0,8,0,2,,,,,6,3,6,48,,46,45,6,48,,1,2,0,45,,548,79,443,124,233,32,,201,305,113,210,,8,,4,,,"0,07",104,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TBoolColumn.java",8,0,8,0,2,,,,,6,3,6,48,,46,45,6,48,,1,2,0,45,,548,79,443,124,233,32,,201,305,113,210,,8,,4,,,"0,07",104,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TByteColumn.java",8,0,8,0,2,,,,,6,3,6,48,,46,45,6,48,,1,2,0,45,,548,79,443,124,233,32,,201,305,113,210,,8,,4,,,"0,07",104,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TCLIService.java",7,0,7,0,2,,,,,345,128,212,1988,,1946,1902,191,2030,,42,86,44,1858,,18138,2920,14414,3961,7681,930,,5966,9664,3539,6862,,5,,3,,,"0,06",3332,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TColumn.java",10,0,10,0,3,,,,,2,11,11,59,,57,48,10,59,,1,2,8,48,,736,77,642,167,416,25,,329,437,147,316,,18,,3,,,"0,04",154,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TDoubleColumn.java",8,0,8,0,2,,,,,6,3,6,48,,46,45,6,48,,1,2,0,45,,548,79,443,124,233,32,,201,305,113,210,,8,,4,,,"0,07",104,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TI16Column.java",8,0,8,0,2,,,,,6,3,6,48,,46,45,6,48,,1,2,0,45,,548,79,443,124,233,32,,201,305,113,210,,8,,4,,,"0,07",104,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TI32Column.java",8,0,8,0,2,,,,,6,3,6,48,,46,45,6,48,,1,2,0,45,,548,79,443,124,233,32,,201,305,113,210,,8,,4,,,"0,07",104,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TI64Column.java",8,0,8,0,2,,,,,6,3,6,48,,46,45,6,48,,1,2,0,45,,548,79,443,124,233,32,,201,305,113,210,,8,,4,,,"0,07",104,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TReflectionUtils.java",4,0,4,1,1,,,,,1,1,3,2,,2,1,0,2,,0,1,0,1,,50,6,22,11,9,22,,9,13,9,5,,1,,0,,,"1,00",2,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TStringColumn.java",8,0,8,0,2,,,,,6,3,6,48,,46,45,6,48,,1,2,0,45,,548,79,443,124,233,32,,201,305,113,210,,8,,4,,,"0,07",104,,,,,,,,,,,0,0,"0,00","0,00"
